device-mapper-event, 2.02.177, +git6-1.8.1, jolla, aarch64;
device-mapper-event-libs, 2.02.177, +git6-1.8.1, jolla, aarch64;
device-mapper-libs, 2.02.177, +git6-1.8.1, jolla, aarch64;
droid-config-xqau52, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-bluez5, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-flashing, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-policy-settings, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-preinit-plugin, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-pulseaudio-settings, 0.1.33, 1.7.1, jolla, aarch64;
droid-config-xqau52-sailfish, 0.1.33, 1.7.1, jolla, noarch;
droid, hal, pdx201-0.0.31-1.11.1, jolla, aarch64;
droid, hal, pdx201-img-boot-0.0.4-1.3.8, jolla, aarch64;
droid, hal, pdx201-img-recovery-0.0.4-1.3.8, jolla, aarch64;
droid, hal, pdx201-kernel-dtbo-0.0.31-1.11.1, jolla, aarch64;
droid, hal, pdx201-tools-0.0.31-1.11.1, jolla, aarch64;
droid, hal, pdx201-users-0.0.31-1.11.1, jolla, aarch64;
droid, hal, version-xqau52-1.0.0-1.4.21, jolla, aarch64;
droid-system-pdx201, 0.1.9, 1.5.2, jolla, aarch64;
droid-system-pdx201-xqau52, 0.1.9, 1.5.2, jolla, aarch64;
droidmedia, 0.20230605.1, 1.8.1, jolla, aarch64;
dsme, 0.84.0, 1.7.1, jolla, aarch64;
dummy_netd, 1.0.1, 1.2.1, jolla, aarch64;
e2fsprogs, 1.46.5, +git1-1.5.5, jolla, aarch64;
e2fsprogs-libs, 1.46.5, +git1-1.5.5, jolla, aarch64;
embedlite-components-qt5, 1.24.34, 1.25.1, jolla, aarch64;
eventsview-extensions, 0.1.11, 1.5.1, jolla, aarch64;
eventsview-extensions-nextcloud, 1.0.4, 1.9.1, jolla, aarch64;
eventsview-extensions-twitter-posts, 0.1.11, 1.5.1, jolla, aarch64;
eventsview-extensions-vk-posts, 0.1.11, 1.5.1, jolla, aarch64;
exempi, 2.5.2, +git1-1.8.3, jolla, aarch64;
expat, 2.4.3, +git1-1.6.3, jolla, aarch64;
farstream, 0.2.9, +git1-1.5.3, jolla, aarch64;
feature-alien, 0.4.2, 1.2.3, jolla, aarch64;
feature-jolla, 0.1.7, 1.4.19, jolla, noarch;
feature-sailfish-eas, 0.0.9, 1.2.4, jolla, aarch64;
feature-xt9, 0.0.7, 1.2.5, jolla, aarch64;
ffmpeg, 5.1.2, +git1-1.8.2, jolla, aarch64;
file, 5.41, +git1-1.6.4, jolla, aarch64;
file-libs, 5.41, +git1-1.6.4, jolla, aarch64;
filesystem, 3.16, +git1-1.8.2, jolla, aarch64;
fingerterm, 1.4.6, 1.9.1, jolla, aarch64;
firejail, 0.9.66, +git3-1.7.2, jolla, aarch64;
flac, 1.3.4, 1.5.1, jolla, aarch64;
fontconfig, 2.13.96, +git3-1.5.2, jolla, aarch64;
fontpackages-filesystem, 1.44, 1.5.2, jolla, noarch;
freetype, 2.10.4, +git1-1.4.3, jolla, aarch64;
fribidi, 1.0.10, +git2-1.6.2, jolla, aarch64;
fuse, 2.9.9, +git2-1.5.12, jolla, aarch64;
fuse-common, 3.9.0, +git1-1.6.1, jolla, aarch64;
fuse-libs, 2.9.9, +git2-1.5.12, jolla, aarch64;
gawk-1, 3.1.5, 1.5.4, jolla, aarch64;
gecko-camera, 0.1.7, 1.6.1, jolla, aarch64;
gecko-camera-droid-plugin, 0.1.7, 1.6.1, jolla, aarch64;
geoclue, 0.12.99.8, +git2-1.7.1, jolla, aarch64;
geoclue-provider-hybris-binder, 0.2.35, 1.5.1, jolla, aarch64;
geoclue-provider-mlsdb, 0.1.7, 1.5.1, jolla, aarch64;
geoclue-provider-mlsdb-agreements, 0.1.7, 1.5.1, jolla, aarch64;
giflib, 5.2.1, +git1-1.6.3, jolla, aarch64;
glib-networking, 2.63.3, +git1-1.5.1, jolla, aarch64;
glib2, 2.72.3, +git1-1.6.1, jolla, aarch64;
glibc, 2.30, +git11-1.9.5, jolla, aarch64;
glibc-common, 2.30, +git11-1.9.5, jolla, aarch64;
gmime, 3.2.8, +git1-1.7.1, jolla, aarch64;
gmp-droid, 0.8, 1.5.1, jolla, aarch64;
gnupg2-1, 2.0.4, +git4-1.7.1, jolla, aarch64;
gpgme, 1.2.0, +git8-1.8.1, jolla, aarch64;
graphite2, 1.3.14, +git2-1.5.3, jolla, aarch64;
gstreamer1.0, 1.20.4, +git1-1.9.2, jolla, aarch64;
gstreamer1.0-droid, 0.20221003.0, 1.5.1, jolla, aarch64;
gstreamer1.0-libav, 1.20.4, +git1-1.8.1, jolla, aarch64;
gstreamer1.0-plugins-bad, 1.20.4, +git1-1.8.1, jolla, aarch64;
gstreamer1.0-plugins-base, 1.20.4, +git1-1.8.2, jolla, aarch64;
gstreamer1.0-plugins-good, 1.20.4, +git1-1.8.2, jolla, aarch64;
harfbuzz, 2.7.2, +git1-1.4.3, jolla, aarch64;
hwdata, 0.335, 1.5.3, jolla, noarch;
hybris-libsensorfw-qt5-binder, 0.14.4, 1.6.1, jolla, aarch64;
iproute, 5.15, +git2-1.6.3, jolla, aarch64;
iptables, 1.8.7, +git1-1.6.3, jolla, aarch64;
iptables-ipv6, 1.8.7, +git1-1.6.3, jolla, aarch64;
iw, 5.0.1, +git2-1.6.2, jolla, aarch64;
jolla-actdead-charging, 0.13.12, 1.2.1, jolla, aarch64;
jolla-alarm-ui, 0.2.18, 1.6.1, jolla, aarch64;
jolla-alarm-ui, all, translations-pack-0.8.1-1.4.2, jolla, noarch;
jolla-ambient-sound-theme, 0.1.0, 1.2.2, jolla, noarch;
jolla-ca, 0.11, 1.3.2, jolla, noarch;
jolla-camera, 1.2.24, 1.10.1, jolla, aarch64;
jolla-camera-lockscreen, 1.2.24, 1.10.1, jolla, aarch64;
jolla-camera-settings, 1.2.24, 1.10.1, jolla, aarch64;
jolla-clock, 1.1.19, 1.4.1, jolla, aarch64;
jolla-clock, all, translations-pack-0.8.1-1.4.2, jolla, noarch;
jolla-common-configurations, 0.11.10, 1.8.1, jolla, noarch;
jolla-contacts, 0.6.38, 1.7.1, jolla, aarch64;
jolla-contacts-settings, 0.6.38, 1.7.1, jolla, aarch64;
jolla-developer-mode, 0.6.23, 1.4.3, jolla, aarch64;
jolla-developer-mode-preload, 0.6.23, 1.4.3, jolla, aarch64;
jolla-developer-mode-profile, 0.6.23, 1.4.3, jolla, aarch64;
jolla-gallery, 1.1.5, 1.9.1, jolla, aarch64;
jolla-gallery-ambience, 0.2.37, 1.5.1, jolla, aarch64;
jolla-gallery-extension-nextcloud, 1.0.4, 1.9.1, jolla, aarch64;
jolla-gallery-extensions, 0.2.14, 1.2.1, jolla, aarch64;
jolla-gallery-extensions-dropbox, 0.2.14, 1.2.1, jolla, aarch64;
jolla-gallery-extensions-onedrive, 0.2.14, 1.2.1, jolla, aarch64;
jolla-gallery-extensions-vk, 0.2.14, 1.2.1, jolla, aarch64;
jolla-keyboard, 0.9.5, 1.9.1, jolla, aarch64;
jolla-keyboard-layout, all, 0.9.5-1.9.1, jolla, aarch64;
jolla-keyboard-layout-indian, 0.9.5, 1.9.1, jolla, aarch64;
jolla-keyboard-layout-kazakh, 0.9.5, 1.9.1, jolla, aarch64;
jolla-keyboard-layout-russian, 0.9.5, 1.9.1, jolla, aarch64;
jolla-keyboard-layout-tatar, 0.9.5, 1.9.1, jolla, aarch64;
jolla-keyboard-layout-western, 0.9.5, 1.9.1, jolla, aarch64;
jolla-messages, 1.1.68, 1.9.1, jolla, aarch64;
jolla-messages-settings, 1.1.68, 1.9.1, jolla, aarch64;
jolla-sessions-qt5, 1.4.22, 1.4.1, jolla, aarch64;
jolla-settings, 1.1.21, 1.6.1, jolla, aarch64;
jolla-settings-accounts, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-3rd-party, all, 0.4.71-1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-dropbox, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-fruux, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-google, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-jabber, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-jolla, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-memotoo, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-onedrive, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-onlinesync, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-twitter, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-vk, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-webcal, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-accounts-extensions-yahoo, 0.4.71, 1.11.1, jolla, aarch64;
jolla-settings-bluetooth, 0.2.15, 1.3.1, jolla, aarch64;
jolla-settings-homescreen, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-layout, 1.1.21, 1.6.1, jolla, aarch64;
jolla-settings-networking, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-cellular, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-multisim, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-plugin-vpn-l2tp, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-plugin-vpn-openconnect, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-plugin-vpn-openvpn, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-plugin-vpn-pptp, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-plugin-vpn-vpnc, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-networking-vpn, 1.0.20, 1.10.1, jolla, aarch64;
jolla-settings-sailfishos, 0.2.27, 1.5.1, jolla, aarch64;
jolla-settings-system, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-about-eula-sailfish, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-about-font-licenses, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-about-package-licenses, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-about-product-license-jolla, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-about-product-trademark-jolla, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-developermode, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-flashlight, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-location, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-nfc, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-orientation, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-presence, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-system-sideloading, 1.2.5.4, 1.16.1, jolla, aarch64;
jolla-settings-transferui-qt5, 1.1.4, 1.10.1, jolla, aarch64;
jolla-signon-ui, 0.2.13, 1.4.1, jolla, aarch64;
jolla-startupwizard, 0.5.1, 1.5.1, jolla, aarch64;
jolla-vault, 1.1.42, 1.3.1, jolla, aarch64;
jolla-vault-units, 1.1.42, 1.3.1, jolla, aarch64;
json-c, 0.15, +git1-1.4.3, jolla, aarch64;
json-glib, 1.6.0, +git1-1.5.1, jolla, aarch64;
kf5-calendarcore, 5.94, +git1-1.9.3, jolla, aarch64;
kf5bluezqt-bluez5, 5.50.0, +git6-1.9.1, jolla, aarch64;
kf5bluezqt-bluez5-declarative, 5.50.0, +git6-1.9.1, jolla, aarch64;
kmod, 29, +git2-1.7.1, jolla, aarch64;
kmod-libs, 29, +git2-1.7.1, jolla, aarch64;
libaccounts-glib, 1.24, +git5-1.4.3, jolla, aarch64;
libaccounts-glib-tools, 1.24, +git5-1.4.3, jolla, aarch64;
libaccounts-qt5, 1.16, +git3-1.6.3, jolla, aarch64;
libacl, 2.3.1, +git2-1.6.18, jolla, aarch64;
libarchive, 3.5.2, +git1-1.6.4, jolla, aarch64;
libasyncns, 0.8, 1.5.3, jolla, aarch64;
libattr, 2.4.47, +git2-1.6.3, jolla, aarch64;
libblkid, 2.38.1, +git1-1.8.3, jolla, aarch64;
libblockdev, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-crypto, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-fs, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-loop, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-part, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-swap, 2.26, +git1-1.6.1, jolla, aarch64;
libblockdev-utils, 2.26, +git1-1.6.1, jolla, aarch64;
libcanberra, 0.30, +git2-1.7.1, jolla, aarch64;
libcap, 2.25, +git2-1.6.3, jolla, aarch64;
libcap-ng, 0.8.2, +git1-1.6.5, jolla, aarch64;
libcom_err, 1.46.5, +git1-1.5.5, jolla, aarch64;
libcommhistory-qt5, 1.11.14.2, 1.14.1, jolla, aarch64;
libcommhistory-qt5-declarative, 1.11.14.2, 1.14.1, jolla, aarch64;
libcommhistory-qt5-tools, 1.11.14.2, 1.14.1, jolla, aarch64;
libcontentaction-qt5, 0.4.6, 1.9.1, jolla, aarch64;
libcurl, 7.85.0, +git1-1.9.1, jolla, aarch64;
libdbus-qeventloop-qt5, 1.32.0, 1.9.2, jolla, aarch64;
libdbusaccess, 1.0.18, 1.7.1, jolla, aarch64;
libdbuslogserver-dbus, 1.0.22, 1.6.1, jolla, aarch64;
libdbuslogserver-gio, 1.0.22, 1.6.1, jolla, aarch64;
libdres, 1.1.18, 1.6.1, jolla, aarch64;
libdrm, 2.4.107, +git1-1.6.1, jolla, aarch64;
libdsme, 0.66.8, 1.7.1, jolla, aarch64;
libexif, 0.6.22, +git2-1.4.3, jolla, aarch64;
libfdisk, 2.38.1, +git1-1.8.3, jolla, aarch64;
libffi, 3.4.4, +git1-1.7.1, jolla, aarch64;
libgbinder, 1.1.30, 1.7.1, jolla, aarch64;
libgbinder-radio, 1.5.4, 1.7.1, jolla, aarch64;
libgbinder-tools, 1.1.30, 1.7.1, jolla, aarch64;
libgcc, 8.3.0, 1.7.2, jolla, aarch64;
libgcrypt, 1.9.4, +git1-1.6.3, jolla, aarch64;
libglibutil, 1.0.67, 1.13.1, jolla, aarch64;
libgofono, 2.1.6, 1.9.1, jolla, aarch64;
libgofonoext, 1.0.14, 1.7.1, jolla, aarch64;
libgpg-error, 1.42, +git2-1.7.2, jolla, aarch64;
libgsf, 1.14.47, +git2-1.7.1, jolla, aarch64;
libgsupplicant, 1.0.27, 1.9.1, jolla, aarch64;
libgudev, 237, +git1-1.7.1, jolla, aarch64;
libhybris, 0.0.5.48, 1.5.1, jolla, aarch64;
libhybris-libEGL, 0.0.5.48, 1.5.1, jolla, aarch64;
libhybris-libGLESv2, 0.0.5.48, 1.5.1, jolla, aarch64;
libhybris-libhardware, 0.0.5.48, 1.5.1, jolla, aarch64;
libhybris-libsync, 0.0.5.48, 1.5.1, jolla, aarch64;
libhybris-libwayland-egl, 0.0.5.48, 1.5.1, jolla, aarch64;
libical, 3.0.9, +git2-1.6.1, jolla, aarch64;
libicu, 68.2, +git1-1.5.4, jolla, aarch64;
libiodata-qt5, 0.19.12, 1.7.3, jolla, aarch64;
libiphb, 1.2.7, 1.5.1, jolla, aarch64;
libiptcdata, 1.0.5, +git1-1.4.3, jolla, aarch64;
libjollasettingssailfishos, 0.2.27, 1.5.1, jolla, aarch64;
libjollasignontrampolineservice-qt5, 0.4.19, 1.6.1, jolla, aarch64;
libjollasignonuiservice-qt5, 0.4.19, 1.6.1, jolla, aarch64;
libjollasignonuiservice-qt5-plugin, 0.4.19, 1.6.1, jolla, aarch64;
libjpeg-turbo, 2.1.4, +git1-1.7.3, jolla, aarch64;
libkeepalive, 1.8.9, 1.9.2, jolla, aarch64;
libkeepalive-glib, 1.8.9, 1.9.2, jolla, aarch64;
libkf5archive, 5.75.0, +git1-1.4.5, jolla, aarch64;
libksba, 1.6.2, +git1-1.7.2, jolla, aarch64;
